Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,RAK3172-8-SM-NI,WIRELM-SMD_32P-L15.5-W15.0-P1.00,128.4,-73.055,0.0,top
U2,SAM-M10Q-00B,LCC-20_L15.5-W15.5-P1.90_SAM-M10Q-00B,149.4,-74.0,0.0,top
