Comment,Designator,Footprint,LCSC,Quantity
RAK3172-8-SM-NI,U1,WIRELM-SMD_32P-L15.5-W15.0-P1.00,C5452091,1
SAM-M10Q-00B,U2,LCC-20_L15.5-W15.5-P1.90_SAM-M10Q-00B,C5443880,1
